interaction_id,customer_id,interaction_type,datetime,notes
1,1,Web,2025-09-29 00:25:41,hành_động='Xem sản phẩm'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='Silky'; từ_khóa='da nhạy cảm'
2,1,Web,2025-10-09 04:37:00,hành_động='Thanh toán thất bại'; sản_phẩm='Son lì tông nude'; thương_hiệu='GlowMe'; từ_khóa='dưỡng ẩm'
3,2,Web,2023-04-03 19:58:12,hành_động='Tìm kiếm từ khóa'; sản_phẩm='Dầu gội phục hồi'; thương_hiệu='AquaSkin'; từ_khóa='trắng da'
4,2,Email,2023-10-29 05:07:18,Hỏi tình trạng da và gợi ý routine
5,3,Email,2023-08-28 16:53:43,Giới thiệu sản phẩm mới ra mắt
6,4,Chat,2025-10-09 06:05:00,Giới thiệu sản phẩm mới ra mắt
7,4,Email,2025-10-08 23:40:00,Hỏi tình trạng da và gợi ý routine
8,5,Web,2023-10-06 13:07:20,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Toner làm dịu'; thương_hiệu='PureLeaf'; từ_khóa='son lì'
9,6,Social Media,2025-10-09 05:54:00,Xác nhận tồn kho và thời gian giao hàng
10,6,Chat,2025-10-08 23:52:00,Phản hồi trải nghiệm sau khi mua
11,6,Web,2025-10-09 04:02:00,hành_động='Thanh toán thành công'; sản_phẩm='Toner làm dịu'; thương_hiệu='AquaSkin'; từ_khóa='dưỡng ẩm'
12,6,Chat,2025-10-08 23:54:00,Hỏi tình trạng da và gợi ý routine
13,6,Call,2025-10-09 08:05:00,Tư vấn combo dưỡng da
14,7,Chat,2025-02-24 09:41:49,Xác nhận tồn kho và thời gian giao hàng
15,7,Call,2025-02-02 13:34:39,Hỏi tình trạng da và gợi ý routine
16,8,Web,2025-08-17 10:09:24,hành_động='Xem sản phẩm'; sản_phẩm='Dầu gội phục hồi'; thương_hiệu='HerbaCare'; từ_khóa='trị mụn'
17,8,Social Media,2025-08-10 07:10:48,Xác nhận tồn kho và thời gian giao hàng
18,8,Email,2025-04-28 23:12:37,Hỏi tình trạng da và gợi ý routine
19,9,Chat,2025-10-09 10:25:00,Gửi mã giảm giá 10% cho đơn đầu tiên
20,9,Social Media,2025-08-02 12:16:59,Gửi mã giảm giá 10% cho đơn đầu tiên
21,9,Email,2025-09-21 13:57:56,Hỏi tình trạng da và gợi ý routine
22,9,Meeting,2025-10-09 04:10:00,Xác nhận tồn kho và thời gian giao hàng
23,9,Meeting,2025-10-08 23:21:00,Giới thiệu sản phẩm mới ra mắt
24,9,Email,2025-10-09 07:28:00,Hỏi tình trạng da và gợi ý routine
25,10,Web,2025-02-19 04:25:41,hành_động='Xem sản phẩm'; sản_phẩm='Serum Vitamin C'; thương_hiệu='Silky'; từ_khóa='chống nắng'
26,10,Social Media,2024-07-10 22:15:06,Gửi mã giảm giá 10% cho đơn đầu tiên
27,10,Social Media,2024-12-03 03:57:47,Giới thiệu sản phẩm mới ra mắt
28,10,Social Media,2025-02-09 19:49:59,Hỏi tình trạng da và gợi ý routine
29,11,Meeting,2023-06-15 13:38:38,Gửi mã giảm giá 10% cho đơn đầu tiên
30,11,Web,2023-07-26 01:00:18,hành_động='Thanh toán thành công'; sản_phẩm='Sữa rửa mặt dịu nhẹ'; thương_hiệu='PureLeaf'; từ_khóa='son lì'
31,11,Meeting,2023-06-23 20:29:35,Xác nhận tồn kho và thời gian giao hàng
32,11,Social Media,2023-12-03 04:40:16,Hỏi tình trạng da và gợi ý routine
33,12,Web,2024-02-16 21:04:33,hành_động='Thêm vào giỏ hàng'; sản_phẩm='Kem chống nắng SPF50'; thương_hiệu='GlowMe'; từ_khóa='dưỡng ẩm'
34,13,Meeting,2024-04-14 22:50:42,Tư vấn combo dưỡng da
35,13,Web,2023-12-17 16:33:30,hành_động='Xóa khỏi giỏ hàng'; sản_phẩm='Nước hoa hồng'; thương_hiệu='HerbaCare'; từ_khóa='trị mụn'
36,13,Chat,2023-12-18 02:57:54,Xác nhận tồn kho và thời gian giao hàng
37,13,Chat,2023-12-08 16:49:00,Tư vấn combo dưỡng da
38,13,Call,2024-01-22 02:53:11,Tư vấn combo dưỡng da
39,13,Email,2024-01-27 19:05:29,Tư vấn combo dưỡng da
40,14,Email,2025-10-09 00:49:00,Gửi mã giảm giá 10% cho đơn đầu tiên
41,15,Call,2025-03-09 14:01:25,Giới thiệu sản phẩm mới ra mắt
42,15,Meeting,2024-07-29 15:00:35,Xác nhận tồn kho và thời gian giao hàng
43,15,Web,2024-08-29 20:07:29,hành_động='Xem sản phẩm'; sản_phẩm='Serum Vitamin C'; thương_hiệu='PureLeaf'; từ_khóa='trị mụn'
44,16,Web,2023-08-01 02:50:58,hành_động='Xem sản phẩm'; sản_phẩm='Tẩy trang micellar'; thương_hiệu='HerbaCare'; từ_khóa='trắng da'
45,16,Meeting,2023-04-30 01:53:09,Gửi mã giảm giá 10% cho đơn đầu tiên
46,16,Meeting,2023-10-26 12:27:06,Giới thiệu sản phẩm mới ra mắt
47,16,Email,2023-06-08 14:26:59,Giới thiệu sản phẩm mới ra mắt
48,16,Email,2023-09-17 21:29:58,Phản hồi trải nghiệm sau khi mua
49,16,Call,2023-03-24 19:42:06,Tư vấn combo dưỡng da
50,17,Social Media,2024-11-26 11:12:39,Xác nhận tồn kho và thời gian giao hàng
51,17,Chat,2024-11-26 23:02:13,Hỏi tình trạng da và gợi ý routine
52,17,Social Media,2024-10-14 13:07:42,Phản hồi trải nghiệm sau khi mua
53,18,Email,2024-01-27 01:43:02,Phản hồi trải nghiệm sau khi mua
54,18,Web,2024-09-23 14:27:46,hành_động='Xem chi tiết thương hiệu'; sản_phẩm='Kem dưỡng ẩm ban đêm'; thương_hiệu='Silky'; từ_khóa='trị mụn'
55,18,Chat,2024-05-06 03:49:24,Gửi mã giảm giá 10% cho đơn đầu tiên
56,18,Email,2024-06-14 08:19:44,Gửi mã giảm giá 10% cho đơn đầu tiên
57,18,Social Media,2024-06-17 02:56:36,Phản hồi trải nghiệm sau khi mua
58,18,Social Media,2024-08-28 05:01:17,Giới thiệu sản phẩm mới ra mắt
59,19,Web,2023-06-27 03:10:37,hành_động='Thanh toán thất bại'; sản_phẩm='Serum Vitamin C'; thương_hiệu='AquaSkin'; từ_khóa='da nhạy cảm'
60,19,Social Media,2023-02-21 07:05:43,Giới thiệu sản phẩm mới ra mắt
